"intercept","loc","studyName","block","geno","Test_weight","Grain_Yield","Plant_height"
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","NE13627",36.54085767,3689,85.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","NE13556",49.04085767,4142.5,95.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","CO11D1213",94.04085767,3947.5,84
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","CO11D1231",107.0408577,3850,89.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","CO11D1219",55.04085767,4583.5,90
1,"Ithaca, NE","YldQtl-Val_2014_Mead","2","CO11D1221",81.04085767,3645,85.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","CO11D1543",110.829733,2774,91
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","NW13669",51.82979254,4287.5,96.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","NW13652",NA,4063.78,95.2071
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","CO11D1542",78.32973302,3547,83
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","CO11D1545",91.32973302,3904,89.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","CO11D1539",78.32973302,4432,90
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","CO11D1657",83.9258294,2938.5,82
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","CO11D1665",92.75090895,3456.5,76
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","CO11D1654",101.5759885,4063.78,81.2071
1,"Ithaca, NE","YldQtl-Val_2014_Mead","3","CO11D1656",105.7509089,3288.5,76
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","NE13698",39.10921202,3867,91
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","NE13697",32.60921202,3688.5,89
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","NE13593",92.13899891,3667.78,95.2071
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","NE13680",70.60921202,3315.5,101
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","GOODSYN58",49.60322737,2935.5,112.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","GOODSYN51",53.13899891,4911.78,105.21
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","GOODSYN62",88.51188654,3265,98.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","GOODSYN61",NA,NA,100.21
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","NE13412",101.6032274,4149.5,90
1,"Ithaca, NE","YldQtl-Val_2014_Mead","4","NE13630",69.10322737,3971,86.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","5","GOODSYN80",50.01509523,3682,105.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","5","GOODSYN72",56.51509523,3678.5,108
1,"Ithaca, NE","YldQtl-Val_2014_Mead","5","NW13572",47.52316561,4304,99
1,"Ithaca, NE","YldQtl-Val_2014_Mead","5","NW13499",60.02316561,3746,95
1,"Ithaca, NE","YldQtl-Val_2014_Mead","5","CO11D1312",97.06882039,5171.5,85.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","5","CO11D1287",103.5688204,4324.5,86
1,"Ithaca, NE","YldQtl-Val_2014_Mead","5","CO11D1298",51.56882039,5635.5,90
1,"Ithaca, NE","YldQtl-Val_2014_Mead","5","CO11D1302W",97.06882039,4818,86
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_65",77,4489,84
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_66",77.5,3443.5,82
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_22",37.6922642,4090.78,85.2071
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_10",57.5,4062,88
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_31",45,4398.5,85.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_88",45,4980,86.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_83",64,5067,91
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_2",51.5,4506,84.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_71",57.5,4633.5,84.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","6","14_23",51.5,4273.5,86.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","NE13470",52.15944071,4193,80
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","NE13510",78.15944071,4294,84.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","GOODSYN88",34.55554563,4721,98
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","GOODSYN82",58.47859246,3794.78,95.2071
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","CO11D1186",81.71820151,3685.5,83
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","CO11D1182",58.47859246,4803.78,85.2071
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","CO11D1615",95.07217321,3856.5,81.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","CO11D1631",101.5721732,3416.5,80.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","CO11D1620",69.57217321,3991.5,74
1,"Ithaca, NE","YldQtl-Val_2014_Mead","7","CO11D1633",88.57217321,3275,81.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","8","CO11D1174",107.6007649,3093.5,85.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","8","CO11D1190",68.60076488,3466.5,93
1,"Ithaca, NE","YldQtl-Val_2014_Mead","8","NW13563",54.16157216,3930.5,84.5
1,"Ithaca, NE","YldQtl-Val_2014_Mead","8","NW13516",73.16157216,3779.5,85
